left,center,right,mask,steering
driving_model/sim_data/RGB\left_00013.png,driving_model/sim_data/RGB\center_00013.png,driving_model/sim_data/RGB\right_00013.png,driving_model/sim_data/masks\00013.png,-0.003067790297791362
driving_model/sim_data/RGB\left_00014.png,driving_model/sim_data/RGB\center_00014.png,driving_model/sim_data/RGB\right_00014.png,driving_model/sim_data/masks\00014.png,-0.0025058307219296694
driving_model/sim_data/RGB\left_00015.png,driving_model/sim_data/RGB\center_00015.png,driving_model/sim_data/RGB\right_00015.png,driving_model/sim_data/masks\00015.png,-0.0021010935306549072
driving_model/sim_data/RGB\left_00016.png,driving_model/sim_data/RGB\center_00016.png,driving_model/sim_data/RGB\right_00016.png,driving_model/sim_data/masks\00016.png,-0.0015491059748455882
driving_model/sim_data/RGB\left_00017.png,driving_model/sim_data/RGB\center_00017.png,driving_model/sim_data/RGB\right_00017.png,driving_model/sim_data/masks\00017.png,-0.001516502583399415
driving_model/sim_data/RGB\left_00018.png,driving_model/sim_data/RGB\center_00018.png,driving_model/sim_data/RGB\right_00018.png,driving_model/sim_data/masks\00018.png,-0.0012130666291341186
driving_model/sim_data/RGB\left_00019.png,driving_model/sim_data/RGB\center_00019.png,driving_model/sim_data/RGB\right_00019.png,driving_model/sim_data/masks\00019.png,-0.0008492356282658875
driving_model/sim_data/RGB\left_00020.png,driving_model/sim_data/RGB\center_00020.png,driving_model/sim_data/RGB\right_00020.png,driving_model/sim_data/masks\00020.png,-0.0006732309120707214
driving_model/sim_data/RGB\left_00021.png,driving_model/sim_data/RGB\center_00021.png,driving_model/sim_data/RGB\right_00021.png,driving_model/sim_data/masks\00021.png,-0.016010470688343048
driving_model/sim_data/RGB\left_00022.png,driving_model/sim_data/RGB\center_00022.png,driving_model/sim_data/RGB\right_00022.png,driving_model/sim_data/masks\00022.png,-0.015095856040716171
driving_model/sim_data/RGB\left_00023.png,driving_model/sim_data/RGB\center_00023.png,driving_model/sim_data/RGB\right_00023.png,driving_model/sim_data/masks\00023.png,-0.014723673462867737
driving_model/sim_data/RGB\left_00024.png,driving_model/sim_data/RGB\center_00024.png,driving_model/sim_data/RGB\right_00024.png,driving_model/sim_data/masks\00024.png,-0.014330619014799595
driving_model/sim_data/RGB\left_00025.png,driving_model/sim_data/RGB\center_00025.png,driving_model/sim_data/RGB\right_00025.png,driving_model/sim_data/masks\00025.png,-0.01402186043560505
driving_model/sim_data/RGB\left_00026.png,driving_model/sim_data/RGB\center_00026.png,driving_model/sim_data/RGB\right_00026.png,driving_model/sim_data/masks\00026.png,-0.013681948184967041
driving_model/sim_data/RGB\left_00027.png,driving_model/sim_data/RGB\center_00027.png,driving_model/sim_data/RGB\right_00027.png,driving_model/sim_data/masks\00027.png,-0.013310295529663563
driving_model/sim_data/RGB\left_00028.png,driving_model/sim_data/RGB\center_00028.png,driving_model/sim_data/RGB\right_00028.png,driving_model/sim_data/masks\00028.png,-0.013650370761752129
driving_model/sim_data/RGB\left_00029.png,driving_model/sim_data/RGB\center_00029.png,driving_model/sim_data/RGB\right_00029.png,driving_model/sim_data/masks\00029.png,-0.013143894262611866
driving_model/sim_data/RGB\left_00030.png,driving_model/sim_data/RGB\center_00030.png,driving_model/sim_data/RGB\right_00030.png,driving_model/sim_data/masks\00030.png,-0.013527513481676579
driving_model/sim_data/RGB\left_00031.png,driving_model/sim_data/RGB\center_00031.png,driving_model/sim_data/RGB\right_00031.png,driving_model/sim_data/masks\00031.png,0.0002485241857357323
driving_model/sim_data/RGB\left_00032.png,driving_model/sim_data/RGB\center_00032.png,driving_model/sim_data/RGB\right_00032.png,driving_model/sim_data/masks\00032.png,0.0
driving_model/sim_data/RGB\left_00033.png,driving_model/sim_data/RGB\center_00033.png,driving_model/sim_data/RGB\right_00033.png,driving_model/sim_data/masks\00033.png,-0.0006155604496598244
driving_model/sim_data/RGB\left_00034.png,driving_model/sim_data/RGB\center_00034.png,driving_model/sim_data/RGB\right_00034.png,driving_model/sim_data/masks\00034.png,-0.001332076033577323
driving_model/sim_data/RGB\left_00035.png,driving_model/sim_data/RGB\center_00035.png,driving_model/sim_data/RGB\right_00035.png,driving_model/sim_data/masks\00035.png,-0.0006357255624607205
driving_model/sim_data/RGB\left_00036.png,driving_model/sim_data/RGB\center_00036.png,driving_model/sim_data/RGB\right_00036.png,driving_model/sim_data/masks\00036.png,-0.01657634600996971
driving_model/sim_data/RGB\left_00037.png,driving_model/sim_data/RGB\center_00037.png,driving_model/sim_data/RGB\right_00037.png,driving_model/sim_data/masks\00037.png,-0.016125725582242012
driving_model/sim_data/RGB\left_00038.png,driving_model/sim_data/RGB\center_00038.png,driving_model/sim_data/RGB\right_00038.png,driving_model/sim_data/masks\00038.png,-0.016254371032118797
driving_model/sim_data/RGB\left_00039.png,driving_model/sim_data/RGB\center_00039.png,driving_model/sim_data/RGB\right_00039.png,driving_model/sim_data/masks\00039.png,-0.016509344801306725
driving_model/sim_data/RGB\left_00040.png,driving_model/sim_data/RGB\center_00040.png,driving_model/sim_data/RGB\right_00040.png,driving_model/sim_data/masks\00040.png,-0.015566019341349602
driving_model/sim_data/RGB\left_00041.png,driving_model/sim_data/RGB\center_00041.png,driving_model/sim_data/RGB\right_00041.png,driving_model/sim_data/masks\00041.png,-0.01643010415136814
driving_model/sim_data/RGB\left_00042.png,driving_model/sim_data/RGB\center_00042.png,driving_model/sim_data/RGB\right_00042.png,driving_model/sim_data/masks\00042.png,-0.016254371032118797
driving_model/sim_data/RGB\left_00043.png,driving_model/sim_data/RGB\center_00043.png,driving_model/sim_data/RGB\right_00043.png,driving_model/sim_data/masks\00043.png,-0.0156388096511364
driving_model/sim_data/RGB\left_00044.png,driving_model/sim_data/RGB\center_00044.png,driving_model/sim_data/RGB\right_00044.png,driving_model/sim_data/masks\00044.png,-0.015814542770385742
driving_model/sim_data/RGB\left_00045.png,driving_model/sim_data/RGB\center_00045.png,driving_model/sim_data/RGB\right_00045.png,driving_model/sim_data/masks\00045.png,-0.015814542770385742
driving_model/sim_data/RGB\left_00046.png,driving_model/sim_data/RGB\center_00046.png,driving_model/sim_data/RGB\right_00046.png,driving_model/sim_data/masks\00046.png,-0.01643010415136814
driving_model/sim_data/RGB\left_00047.png,driving_model/sim_data/RGB\center_00047.png,driving_model/sim_data/RGB\right_00047.png,driving_model/sim_data/masks\00047.png,-0.0156388096511364
driving_model/sim_data/RGB\left_00048.png,driving_model/sim_data/RGB\center_00048.png,driving_model/sim_data/RGB\right_00048.png,driving_model/sim_data/masks\00048.png,-0.01668507792055607
driving_model/sim_data/RGB\left_00049.png,driving_model/sim_data/RGB\center_00049.png,driving_model/sim_data/RGB\right_00049.png,driving_model/sim_data/masks\00049.png,-0.015566019341349602
driving_model/sim_data/RGB\left_00050.png,driving_model/sim_data/RGB\center_00050.png,driving_model/sim_data/RGB\right_00050.png,driving_model/sim_data/masks\00050.png,-0.01668507792055607
driving_model/sim_data/RGB\left_00051.png,driving_model/sim_data/RGB\center_00051.png,driving_model/sim_data/RGB\right_00051.png,driving_model/sim_data/masks\00051.png,-0.0006220098002813756
driving_model/sim_data/RGB\left_00052.png,driving_model/sim_data/RGB\center_00052.png,driving_model/sim_data/RGB\right_00052.png,driving_model/sim_data/masks\00052.png,0.0002485241857357323
driving_model/sim_data/RGB\left_00053.png,driving_model/sim_data/RGB\center_00053.png,driving_model/sim_data/RGB\right_00053.png,driving_model/sim_data/masks\00053.png,0.0
driving_model/sim_data/RGB\left_00054.png,driving_model/sim_data/RGB\center_00054.png,driving_model/sim_data/RGB\right_00054.png,driving_model/sim_data/masks\00054.png,0.0
driving_model/sim_data/RGB\left_00055.png,driving_model/sim_data/RGB\center_00055.png,driving_model/sim_data/RGB\right_00055.png,driving_model/sim_data/masks\00055.png,0.0
driving_model/sim_data/RGB\left_00056.png,driving_model/sim_data/RGB\center_00056.png,driving_model/sim_data/RGB\right_00056.png,driving_model/sim_data/masks\00056.png,0.0
driving_model/sim_data/RGB\left_00057.png,driving_model/sim_data/RGB\center_00057.png,driving_model/sim_data/RGB\right_00057.png,driving_model/sim_data/masks\00057.png,0.0
driving_model/sim_data/RGB\left_00058.png,driving_model/sim_data/RGB\center_00058.png,driving_model/sim_data/RGB\right_00058.png,driving_model/sim_data/masks\00058.png,0.0
driving_model/sim_data/RGB\left_00059.png,driving_model/sim_data/RGB\center_00059.png,driving_model/sim_data/RGB\right_00059.png,driving_model/sim_data/masks\00059.png,0.0
driving_model/sim_data/RGB\left_00060.png,driving_model/sim_data/RGB\center_00060.png,driving_model/sim_data/RGB\right_00060.png,driving_model/sim_data/masks\00060.png,0.0
driving_model/sim_data/RGB\left_00061.png,driving_model/sim_data/RGB\center_00061.png,driving_model/sim_data/RGB\right_00061.png,driving_model/sim_data/masks\00061.png,0.0
driving_model/sim_data/RGB\left_00062.png,driving_model/sim_data/RGB\center_00062.png,driving_model/sim_data/RGB\right_00062.png,driving_model/sim_data/masks\00062.png,-0.0006155604496598244
driving_model/sim_data/RGB\left_00063.png,driving_model/sim_data/RGB\center_00063.png,driving_model/sim_data/RGB\right_00063.png,driving_model/sim_data/masks\00063.png,0.00017573311924934387
driving_model/sim_data/RGB\left_00064.png,driving_model/sim_data/RGB\center_00064.png,driving_model/sim_data/RGB\right_00064.png,driving_model/sim_data/masks\00064.png,-0.001066182041540742
driving_model/sim_data/RGB\left_00065.png,driving_model/sim_data/RGB\center_00065.png,driving_model/sim_data/RGB\right_00065.png,driving_model/sim_data/masks\00065.png,-0.00031118179322220385
driving_model/sim_data/RGB\left_00066.png,driving_model/sim_data/RGB\center_00066.png,driving_model/sim_data/RGB\right_00066.png,driving_model/sim_data/masks\00066.png,0.00017573311924934387
driving_model/sim_data/RGB\left_00067.png,driving_model/sim_data/RGB\center_00067.png,driving_model/sim_data/RGB\right_00067.png,driving_model/sim_data/masks\00067.png,0.0
driving_model/sim_data/RGB\left_00068.png,driving_model/sim_data/RGB\center_00068.png,driving_model/sim_data/RGB\right_00068.png,driving_model/sim_data/masks\00068.png,0.0
driving_model/sim_data/RGB\left_00069.png,driving_model/sim_data/RGB\center_00069.png,driving_model/sim_data/RGB\right_00069.png,driving_model/sim_data/masks\00069.png,0.0
driving_model/sim_data/RGB\left_00070.png,driving_model/sim_data/RGB\center_00070.png,driving_model/sim_data/RGB\right_00070.png,driving_model/sim_data/masks\00070.png,0.0
driving_model/sim_data/RGB\left_00071.png,driving_model/sim_data/RGB\center_00071.png,driving_model/sim_data/RGB\right_00071.png,driving_model/sim_data/masks\00071.png,0.0
driving_model/sim_data/RGB\left_00072.png,driving_model/sim_data/RGB\center_00072.png,driving_model/sim_data/RGB\right_00072.png,driving_model/sim_data/masks\00072.png,-0.0006155604496598244
driving_model/sim_data/RGB\left_00073.png,driving_model/sim_data/RGB\center_00073.png,driving_model/sim_data/RGB\right_00073.png,driving_model/sim_data/masks\00073.png,-0.00043982735951431096
driving_model/sim_data/RGB\left_00074.png,driving_model/sim_data/RGB\center_00074.png,driving_model/sim_data/RGB\right_00074.png,driving_model/sim_data/masks\00074.png,0.00017573311924934387
driving_model/sim_data/RGB\left_00075.png,driving_model/sim_data/RGB\center_00075.png,driving_model/sim_data/RGB\right_00075.png,driving_model/sim_data/masks\00075.png,0.0
driving_model/sim_data/RGB\left_00076.png,driving_model/sim_data/RGB\center_00076.png,driving_model/sim_data/RGB\right_00076.png,driving_model/sim_data/masks\00076.png,0.0
driving_model/sim_data/RGB\left_00077.png,driving_model/sim_data/RGB\center_00077.png,driving_model/sim_data/RGB\right_00077.png,driving_model/sim_data/masks\00077.png,0.0
driving_model/sim_data/RGB\left_00078.png,driving_model/sim_data/RGB\center_00078.png,driving_model/sim_data/RGB\right_00078.png,driving_model/sim_data/masks\00078.png,0.0
driving_model/sim_data/RGB\left_00079.png,driving_model/sim_data/RGB\center_00079.png,driving_model/sim_data/RGB\right_00079.png,driving_model/sim_data/masks\00079.png,0.0
driving_model/sim_data/RGB\left_00080.png,driving_model/sim_data/RGB\center_00080.png,driving_model/sim_data/RGB\right_00080.png,driving_model/sim_data/masks\00080.png,-0.0006155604496598244
driving_model/sim_data/RGB\left_00081.png,driving_model/sim_data/RGB\center_00081.png,driving_model/sim_data/RGB\right_00081.png,driving_model/sim_data/masks\00081.png,0.0007912935689091682
driving_model/sim_data/RGB\left_00082.png,driving_model/sim_data/RGB\center_00082.png,driving_model/sim_data/RGB\right_00082.png,driving_model/sim_data/masks\00082.png,-0.00017573311924934387
driving_model/sim_data/RGB\left_00083.png,driving_model/sim_data/RGB\center_00083.png,driving_model/sim_data/RGB\right_00083.png,driving_model/sim_data/masks\00083.png,0.0006155604496598244
driving_model/sim_data/RGB\left_00084.png,driving_model/sim_data/RGB\center_00084.png,driving_model/sim_data/RGB\right_00084.png,driving_model/sim_data/masks\00084.png,-0.00017573311924934387
driving_model/sim_data/RGB\left_00085.png,driving_model/sim_data/RGB\center_00085.png,driving_model/sim_data/RGB\right_00085.png,driving_model/sim_data/masks\00085.png,0.0
driving_model/sim_data/RGB\left_00086.png,driving_model/sim_data/RGB\center_00086.png,driving_model/sim_data/RGB\right_00086.png,driving_model/sim_data/masks\00086.png,-0.0006155604496598244
driving_model/sim_data/RGB\left_00087.png,driving_model/sim_data/RGB\center_00087.png,driving_model/sim_data/RGB\right_00087.png,driving_model/sim_data/masks\00087.png,0.00017573311924934387
driving_model/sim_data/RGB\left_00088.png,driving_model/sim_data/RGB\center_00088.png,driving_model/sim_data/RGB\right_00088.png,driving_model/sim_data/masks\00088.png,0.0
driving_model/sim_data/RGB\left_00089.png,driving_model/sim_data/RGB\center_00089.png,driving_model/sim_data/RGB\right_00089.png,driving_model/sim_data/masks\00089.png,0.0
driving_model/sim_data/RGB\left_00090.png,driving_model/sim_data/RGB\center_00090.png,driving_model/sim_data/RGB\right_00090.png,driving_model/sim_data/masks\00090.png,0.0
driving_model/sim_data/RGB\left_00091.png,driving_model/sim_data/RGB\center_00091.png,driving_model/sim_data/RGB\right_00091.png,driving_model/sim_data/masks\00091.png,0.0
driving_model/sim_data/RGB\left_00092.png,driving_model/sim_data/RGB\center_00092.png,driving_model/sim_data/RGB\right_00092.png,driving_model/sim_data/masks\00092.png,0.0
driving_model/sim_data/RGB\left_00093.png,driving_model/sim_data/RGB\center_00093.png,driving_model/sim_data/RGB\right_00093.png,driving_model/sim_data/masks\00093.png,0.0
driving_model/sim_data/RGB\left_00094.png,driving_model/sim_data/RGB\center_00094.png,driving_model/sim_data/RGB\right_00094.png,driving_model/sim_data/masks\00094.png,0.0
driving_model/sim_data/RGB\left_00095.png,driving_model/sim_data/RGB\center_00095.png,driving_model/sim_data/RGB\right_00095.png,driving_model/sim_data/masks\00095.png,0.0
driving_model/sim_data/RGB\left_00096.png,driving_model/sim_data/RGB\center_00096.png,driving_model/sim_data/RGB\right_00096.png,driving_model/sim_data/masks\00096.png,0.0
driving_model/sim_data/RGB\left_00097.png,driving_model/sim_data/RGB\center_00097.png,driving_model/sim_data/RGB\right_00097.png,driving_model/sim_data/masks\00097.png,0.0
driving_model/sim_data/RGB\left_00098.png,driving_model/sim_data/RGB\center_00098.png,driving_model/sim_data/RGB\right_00098.png,driving_model/sim_data/masks\00098.png,0.0
driving_model/sim_data/RGB\left_00099.png,driving_model/sim_data/RGB\center_00099.png,driving_model/sim_data/RGB\right_00099.png,driving_model/sim_data/masks\00099.png,0.0
driving_model/sim_data/RGB\left_00100.png,driving_model/sim_data/RGB\center_00100.png,driving_model/sim_data/RGB\right_00100.png,driving_model/sim_data/masks\00100.png,0.0
driving_model/sim_data/RGB\left_00101.png,driving_model/sim_data/RGB\center_00101.png,driving_model/sim_data/RGB\right_00101.png,driving_model/sim_data/masks\00101.png,0.0
driving_model/sim_data/RGB\left_00102.png,driving_model/sim_data/RGB\center_00102.png,driving_model/sim_data/RGB\right_00102.png,driving_model/sim_data/masks\00102.png,0.0
driving_model/sim_data/RGB\left_00103.png,driving_model/sim_data/RGB\center_00103.png,driving_model/sim_data/RGB\right_00103.png,driving_model/sim_data/masks\00103.png,0.0
driving_model/sim_data/RGB\left_00104.png,driving_model/sim_data/RGB\center_00104.png,driving_model/sim_data/RGB\right_00104.png,driving_model/sim_data/masks\00104.png,0.0
driving_model/sim_data/RGB\left_00105.png,driving_model/sim_data/RGB\center_00105.png,driving_model/sim_data/RGB\right_00105.png,driving_model/sim_data/masks\00105.png,0.0
driving_model/sim_data/RGB\left_00106.png,driving_model/sim_data/RGB\center_00106.png,driving_model/sim_data/RGB\right_00106.png,driving_model/sim_data/masks\00106.png,0.0
driving_model/sim_data/RGB\left_00107.png,driving_model/sim_data/RGB\center_00107.png,driving_model/sim_data/RGB\right_00107.png,driving_model/sim_data/masks\00107.png,0.0
driving_model/sim_data/RGB\left_00108.png,driving_model/sim_data/RGB\center_00108.png,driving_model/sim_data/RGB\right_00108.png,driving_model/sim_data/masks\00108.png,0.0
driving_model/sim_data/RGB\left_00109.png,driving_model/sim_data/RGB\center_00109.png,driving_model/sim_data/RGB\right_00109.png,driving_model/sim_data/masks\00109.png,0.0
driving_model/sim_data/RGB\left_00110.png,driving_model/sim_data/RGB\center_00110.png,driving_model/sim_data/RGB\right_00110.png,driving_model/sim_data/masks\00110.png,0.0
driving_model/sim_data/RGB\left_00111.png,driving_model/sim_data/RGB\center_00111.png,driving_model/sim_data/RGB\right_00111.png,driving_model/sim_data/masks\00111.png,0.0
driving_model/sim_data/RGB\left_00112.png,driving_model/sim_data/RGB\center_00112.png,driving_model/sim_data/RGB\right_00112.png,driving_model/sim_data/masks\00112.png,0.0
driving_model/sim_data/RGB\left_00113.png,driving_model/sim_data/RGB\center_00113.png,driving_model/sim_data/RGB\right_00113.png,driving_model/sim_data/masks\00113.png,0.0
driving_model/sim_data/RGB\left_00114.png,driving_model/sim_data/RGB\center_00114.png,driving_model/sim_data/RGB\right_00114.png,driving_model/sim_data/masks\00114.png,0.0006155604496598244
driving_model/sim_data/RGB\left_00115.png,driving_model/sim_data/RGB\center_00115.png,driving_model/sim_data/RGB\right_00115.png,driving_model/sim_data/masks\00115.png,-0.00017573311924934387
driving_model/sim_data/RGB\left_00116.png,driving_model/sim_data/RGB\center_00116.png,driving_model/sim_data/RGB\right_00116.png,driving_model/sim_data/masks\00116.png,0.0
driving_model/sim_data/RGB\left_00117.png,driving_model/sim_data/RGB\center_00117.png,driving_model/sim_data/RGB\right_00117.png,driving_model/sim_data/masks\00117.png,0.0006155604496598244
driving_model/sim_data/RGB\left_00118.png,driving_model/sim_data/RGB\center_00118.png,driving_model/sim_data/RGB\right_00118.png,driving_model/sim_data/masks\00118.png,0.00043982735951431096
driving_model/sim_data/RGB\left_00119.png,driving_model/sim_data/RGB\center_00119.png,driving_model/sim_data/RGB\right_00119.png,driving_model/sim_data/masks\00119.png,-0.00017573311924934387
driving_model/sim_data/RGB\left_00120.png,driving_model/sim_data/RGB\center_00120.png,driving_model/sim_data/RGB\right_00120.png,driving_model/sim_data/masks\00120.png,0.0
driving_model/sim_data/RGB\left_00121.png,driving_model/sim_data/RGB\center_00121.png,driving_model/sim_data/RGB\right_00121.png,driving_model/sim_data/masks\00121.png,-0.017230063676834106
driving_model/sim_data/RGB\left_00122.png,driving_model/sim_data/RGB\center_00122.png,driving_model/sim_data/RGB\right_00122.png,driving_model/sim_data/masks\00122.png,-0.017230063676834106
driving_model/sim_data/RGB\left_00123.png,driving_model/sim_data/RGB\center_00123.png,driving_model/sim_data/RGB\right_00123.png,driving_model/sim_data/masks\00123.png,-0.017230063676834106
driving_model/sim_data/RGB\left_00124.png,driving_model/sim_data/RGB\center_00124.png,driving_model/sim_data/RGB\right_00124.png,driving_model/sim_data/masks\00124.png,-0.017230063676834106
driving_model/sim_data/RGB\left_00125.png,driving_model/sim_data/RGB\center_00125.png,driving_model/sim_data/RGB\right_00125.png,driving_model/sim_data/masks\00125.png,-0.017230063676834106
driving_model/sim_data/RGB\left_00126.png,driving_model/sim_data/RGB\center_00126.png,driving_model/sim_data/RGB\right_00126.png,driving_model/sim_data/masks\00126.png,-0.017230063676834106
driving_model/sim_data/RGB\left_00127.png,driving_model/sim_data/RGB\center_00127.png,driving_model/sim_data/RGB\right_00127.png,driving_model/sim_data/masks\00127.png,0.0006155604496598244
driving_model/sim_data/RGB\left_00128.png,driving_model/sim_data/RGB\center_00128.png,driving_model/sim_data/RGB\right_00128.png,driving_model/sim_data/masks\00128.png,-0.0007912935689091682
driving_model/sim_data/RGB\left_00129.png,driving_model/sim_data/RGB\center_00129.png,driving_model/sim_data/RGB\right_00129.png,driving_model/sim_data/masks\00129.png,0.00017573311924934387
driving_model/sim_data/RGB\left_00130.png,driving_model/sim_data/RGB\center_00130.png,driving_model/sim_data/RGB\right_00130.png,driving_model/sim_data/masks\00130.png,0.0
driving_model/sim_data/RGB\left_00131.png,driving_model/sim_data/RGB\center_00131.png,driving_model/sim_data/RGB\right_00131.png,driving_model/sim_data/masks\00131.png,0.0
driving_model/sim_data/RGB\left_00132.png,driving_model/sim_data/RGB\center_00132.png,driving_model/sim_data/RGB\right_00132.png,driving_model/sim_data/masks\00132.png,0.0
driving_model/sim_data/RGB\left_00133.png,driving_model/sim_data/RGB\center_00133.png,driving_model/sim_data/RGB\right_00133.png,driving_model/sim_data/masks\00133.png,0.0
driving_model/sim_data/RGB\left_00134.png,driving_model/sim_data/RGB\center_00134.png,driving_model/sim_data/RGB\right_00134.png,driving_model/sim_data/masks\00134.png,0.07674387842416763
driving_model/sim_data/RGB\left_00135.png,driving_model/sim_data/RGB\center_00135.png,driving_model/sim_data/RGB\right_00135.png,driving_model/sim_data/masks\00135.png,0.0522245429456234
driving_model/sim_data/RGB\left_00136.png,driving_model/sim_data/RGB\center_00136.png,driving_model/sim_data/RGB\right_00136.png,driving_model/sim_data/masks\00136.png,0.04443078860640526
driving_model/sim_data/RGB\left_00137.png,driving_model/sim_data/RGB\center_00137.png,driving_model/sim_data/RGB\right_00137.png,driving_model/sim_data/masks\00137.png,0.037585508078336716
driving_model/sim_data/RGB\left_00138.png,driving_model/sim_data/RGB\center_00138.png,driving_model/sim_data/RGB\right_00138.png,driving_model/sim_data/masks\00138.png,0.03159046545624733
driving_model/sim_data/RGB\left_00139.png,driving_model/sim_data/RGB\center_00139.png,driving_model/sim_data/RGB\right_00139.png,driving_model/sim_data/masks\00139.png,0.02639470435678959
driving_model/sim_data/RGB\left_00140.png,driving_model/sim_data/RGB\center_00140.png,driving_model/sim_data/RGB\right_00140.png,driving_model/sim_data/masks\00140.png,0.022064758464694023
driving_model/sim_data/RGB\left_00141.png,driving_model/sim_data/RGB\center_00141.png,driving_model/sim_data/RGB\right_00141.png,driving_model/sim_data/masks\00141.png,0.018420085310935974
driving_model/sim_data/RGB\left_00142.png,driving_model/sim_data/RGB\center_00142.png,driving_model/sim_data/RGB\right_00142.png,driving_model/sim_data/masks\00142.png,0.015468447469174862
driving_model/sim_data/RGB\left_00143.png,driving_model/sim_data/RGB\center_00143.png,driving_model/sim_data/RGB\right_00143.png,driving_model/sim_data/masks\00143.png,0.012992034666240215
driving_model/sim_data/RGB\left_00144.png,driving_model/sim_data/RGB\center_00144.png,driving_model/sim_data/RGB\right_00144.png,driving_model/sim_data/masks\00144.png,0.0110222352668643
driving_model/sim_data/RGB\left_00145.png,driving_model/sim_data/RGB\center_00145.png,driving_model/sim_data/RGB\right_00145.png,driving_model/sim_data/masks\00145.png,0.00941998790949583
driving_model/sim_data/RGB\left_00146.png,driving_model/sim_data/RGB\center_00146.png,driving_model/sim_data/RGB\right_00146.png,driving_model/sim_data/masks\00146.png,0.008126253262162209
driving_model/sim_data/RGB\left_00147.png,driving_model/sim_data/RGB\center_00147.png,driving_model/sim_data/RGB\right_00147.png,driving_model/sim_data/masks\00147.png,0.10363102704286575
driving_model/sim_data/RGB\left_00148.png,driving_model/sim_data/RGB\center_00148.png,driving_model/sim_data/RGB\right_00148.png,driving_model/sim_data/masks\00148.png,0.07784467935562134
driving_model/sim_data/RGB\left_00149.png,driving_model/sim_data/RGB\center_00149.png,driving_model/sim_data/RGB\right_00149.png,driving_model/sim_data/masks\00149.png,0.16651186347007751
driving_model/sim_data/RGB\left_00150.png,driving_model/sim_data/RGB\center_00150.png,driving_model/sim_data/RGB\right_00150.png,driving_model/sim_data/masks\00150.png,0.13425226509571075
driving_model/sim_data/RGB\left_00151.png,driving_model/sim_data/RGB\center_00151.png,driving_model/sim_data/RGB\right_00151.png,driving_model/sim_data/masks\00151.png,0.2842522859573364
driving_model/sim_data/RGB\left_00152.png,driving_model/sim_data/RGB\center_00152.png,driving_model/sim_data/RGB\right_00152.png,driving_model/sim_data/masks\00152.png,0.2686910033226013
driving_model/sim_data/RGB\left_00153.png,driving_model/sim_data/RGB\center_00153.png,driving_model/sim_data/RGB\right_00153.png,driving_model/sim_data/masks\00153.png,0.35607287287712097
driving_model/sim_data/RGB\left_00154.png,driving_model/sim_data/RGB\center_00154.png,driving_model/sim_data/RGB\right_00154.png,driving_model/sim_data/masks\00154.png,0.41156256198883057
driving_model/sim_data/RGB\left_00155.png,driving_model/sim_data/RGB\center_00155.png,driving_model/sim_data/RGB\right_00155.png,driving_model/sim_data/masks\00155.png,0.3513426184654236
driving_model/sim_data/RGB\left_00156.png,driving_model/sim_data/RGB\center_00156.png,driving_model/sim_data/RGB\right_00156.png,driving_model/sim_data/masks\00156.png,0.4293559491634369
